evidence_id,case_id,platform,source_type,acquisition_mode,provenance_type,verification_status,trust_label,trust_score,review_status,evidence_type,title,body_text,comment_text,language,source_url,url,root_id,parent_id,created_at,collected_at,author_platform_hash,author_hash_method,author_identity_confidence,raw_author_id_removed,raw_author_name_removed,author_display_label,like_count,reply_count,share_count,view_count,content_hash,normalized_content_hash,canonical_url_hash,duplicate_group_id,duplicate_count,risk_flags,content_visibility,access_scope,source_capture_method,coverage_note,raw_data_safe,ingestion_metadata,is_root_content,influence_core_candidate,influence_core_type,source_identity_type,claim_summary,stance_hint,topic_hint,frame_hint,evidence_strength_hint,logic_strength_hint,emotional_intensity_hint,camp_state_hint,emotion_hint,people_cluster_hint,engagement_proxy
sgv1_7bb9e45e5885d3085846e206,donglu_sunjihai_youth_football_202606,weibo,major_platform_discussion_root,manual_url,manual_url,source_url_provided_unverified,medium,0.65,review_needed,creator_post,Weibo public discussion root 01,"Weibo public discussion root 01 This local snapshot is a selected controlled public opinion sample for the Dong Lu / Sun Jihai youth football route controversy. Platform/source category: weibo. Root index: 01. Topic focus: platform discussion. It mentions Dong Lu, Sun Jihai, youth football, Chinese football, route comparison, public response, media reframing, community discussion, and youth protection boundaries. Coverage limitations: selected controlled public sample only; not full web coverage; not full platform coverage; not full thread coverage; not official verification; not causal proof; not a judgment of who is right or wrong. Privacy note: no raw display names, profile URLs, private messages, minor identifying details, or family personal information are included.",,zh-CN,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=01,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=01,src_weibo_01,,2026-06-17T12:10:16.480Z,2026-06-17T12:10:16.480Z,,sha256_platform_case_salt,unknown,true,true,,0,0,0,0,sha256:40496b3100c9a263ba472f8e073c2a9a28e41ca406301e4a06fd5fe2261d2f81,sha256:f9ef1115cd69e3e083b07196c4801b8c5251f1b203e6b075e7f562f3c48d37b3,sha256:3bd5067e3f573d2910308b251ad37152a0b2ad9f82c7b53e8a6dd8d818b98ee5,dup_a7f464cc9faef2ac0b54,1,[],public,public,manual_public_snapshot,Selected public sample only. Not full-platform coverage. Not full-web coverage. Not full-thread coverage.,"{""asset_id"":""local-snapshot-src_weibo_01-root"",""run_id"":"""",""task_id"":"""",""source_path"":"""",""record_type"":""detail"",""field_score"":0,""keyword"":"""",""entity_ids"":[]}","{""normalized_from"":""opencrawler_local_asset"",""source_record_id"":""local-snapshot-src_weibo_01-root"",""source_type"":""major_platform_discussion_root"",""acquisition_mode"":""manual_url"",""normalized_at"":""2026-06-17T12:10:16.502Z"",""warnings"":[]}",true,true,creator_post,ordinary_user,,unknown,,unknown,unknown,unknown,unknown,,,,0
sgv1_205ba550d82a5772b2a415ac,donglu_sunjihai_youth_football_202606,weibo,major_platform_discussion_root,manual_url,manual_url,source_url_provided_unverified,medium,0.65,review_needed,creator_post,Weibo public discussion root 02,"Weibo public discussion root 02 This local snapshot is a selected controlled public opinion sample for the Dong Lu / Sun Jihai youth football route controversy. Platform/source category: weibo. Root index: 02. Topic focus: platform discussion. It mentions Dong Lu, Sun Jihai, youth football, Chinese football, route comparison, public response, media reframing, community discussion, and youth protection boundaries. Coverage limitations: selected controlled public sample only; not full web coverage; not full platform coverage; not full thread coverage; not official verification; not causal proof; not a judgment of who is right or wrong. Privacy note: no raw display names, profile URLs, private messages, minor identifying details, or family personal information are included.",,zh-CN,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=02,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=02,src_weibo_02,,2026-06-17T12:10:16.481Z,2026-06-17T12:10:16.481Z,,sha256_platform_case_salt,unknown,true,true,,0,0,0,0,sha256:478671749d661eb0a7346a039dd2618af714c45796c205cfae58868bb9179600,sha256:7ee6aaff70ab7d75aa59ea5b5aa557a58f9faab48f49a7afadf49b3f7be1488f,sha256:ac92664e95a8eb28cade549789f28d829560069f872788fc14859f4051bc3ac1,dup_80441f4f8c7d2aa75fac,1,[],public,public,manual_public_snapshot,Selected public sample only. Not full-platform coverage. Not full-web coverage. Not full-thread coverage.,"{""asset_id"":""local-snapshot-src_weibo_02-root"",""run_id"":"""",""task_id"":"""",""source_path"":"""",""record_type"":""detail"",""field_score"":0,""keyword"":"""",""entity_ids"":[]}","{""normalized_from"":""opencrawler_local_asset"",""source_record_id"":""local-snapshot-src_weibo_02-root"",""source_type"":""major_platform_discussion_root"",""acquisition_mode"":""manual_url"",""normalized_at"":""2026-06-17T12:10:16.502Z"",""warnings"":[]}",true,true,creator_post,ordinary_user,,unknown,,unknown,unknown,unknown,unknown,,,,0
sgv1_272aa7de6a81b59325b1f0b5,donglu_sunjihai_youth_football_202606,weibo,major_platform_discussion_root,manual_url,manual_url,source_url_provided_unverified,medium,0.65,review_needed,creator_post,Weibo public discussion root 03,"Weibo public discussion root 03 This local snapshot is a selected controlled public opinion sample for the Dong Lu / Sun Jihai youth football route controversy. Platform/source category: weibo. Root index: 03. Topic focus: platform discussion. It mentions Dong Lu, Sun Jihai, youth football, Chinese football, route comparison, public response, media reframing, community discussion, and youth protection boundaries. Coverage limitations: selected controlled public sample only; not full web coverage; not full platform coverage; not full thread coverage; not official verification; not causal proof; not a judgment of who is right or wrong. Privacy note: no raw display names, profile URLs, private messages, minor identifying details, or family personal information are included.",,zh-CN,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=03,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=03,src_weibo_03,,2026-06-17T12:10:16.481Z,2026-06-17T12:10:16.481Z,,sha256_platform_case_salt,unknown,true,true,,0,0,0,0,sha256:5e96901ba11b73ae77e6440e4a0f75860998f2f1b9b09aa7feecd21dfe10e3a9,sha256:3b3f8c35376b0b9bd0deb526153892f67b6d667376f9ff497e68b9e031619e2e,sha256:0e590a5f5c2a626952305ebf8b3619defb6eb9dae5174d682208e78008694226,dup_9d7e3305510fb1385167,1,[],public,public,manual_public_snapshot,Selected public sample only. Not full-platform coverage. Not full-web coverage. Not full-thread coverage.,"{""asset_id"":""local-snapshot-src_weibo_03-root"",""run_id"":"""",""task_id"":"""",""source_path"":"""",""record_type"":""detail"",""field_score"":0,""keyword"":"""",""entity_ids"":[]}","{""normalized_from"":""opencrawler_local_asset"",""source_record_id"":""local-snapshot-src_weibo_03-root"",""source_type"":""major_platform_discussion_root"",""acquisition_mode"":""manual_url"",""normalized_at"":""2026-06-17T12:10:16.502Z"",""warnings"":[]}",true,true,creator_post,ordinary_user,,unknown,,unknown,unknown,unknown,unknown,,,,0
sgv1_000854cb8b5ca41fb9827055,donglu_sunjihai_youth_football_202606,weibo,major_platform_discussion_root,manual_url,manual_url,source_url_provided_unverified,medium,0.65,review_needed,creator_post,Weibo public discussion root 04,"Weibo public discussion root 04 This local snapshot is a selected controlled public opinion sample for the Dong Lu / Sun Jihai youth football route controversy. Platform/source category: weibo. Root index: 04. Topic focus: platform discussion. It mentions Dong Lu, Sun Jihai, youth football, Chinese football, route comparison, public response, media reframing, community discussion, and youth protection boundaries. Coverage limitations: selected controlled public sample only; not full web coverage; not full platform coverage; not full thread coverage; not official verification; not causal proof; not a judgment of who is right or wrong. Privacy note: no raw display names, profile URLs, private messages, minor identifying details, or family personal information are included.",,zh-CN,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=04,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=04,src_weibo_04,,2026-06-17T12:10:16.481Z,2026-06-17T12:10:16.481Z,,sha256_platform_case_salt,unknown,true,true,,0,0,0,0,sha256:2d5dd3ac4f8fca935963249d56bfd4af91270bb0195c74b3f6014b3a10e154be,sha256:0b6eab19a20c5c74439118b318c17875160f2cb61b915726a2b9915513750e61,sha256:31aff54b61b9aa3c3c01f9e909fbb3fb3a75269d8330adb0172f4a3ba12748a2,dup_6a96e1e1733d2e7fc6ab,1,[],public,public,manual_public_snapshot,Selected public sample only. Not full-platform coverage. Not full-web coverage. Not full-thread coverage.,"{""asset_id"":""local-snapshot-src_weibo_04-root"",""run_id"":"""",""task_id"":"""",""source_path"":"""",""record_type"":""detail"",""field_score"":0,""keyword"":"""",""entity_ids"":[]}","{""normalized_from"":""opencrawler_local_asset"",""source_record_id"":""local-snapshot-src_weibo_04-root"",""source_type"":""major_platform_discussion_root"",""acquisition_mode"":""manual_url"",""normalized_at"":""2026-06-17T12:10:16.502Z"",""warnings"":[]}",true,true,creator_post,ordinary_user,,unknown,,unknown,unknown,unknown,unknown,,,,0
sgv1_ba4b3ef11f8df2018c7eb906,donglu_sunjihai_youth_football_202606,weibo,major_platform_discussion_root,manual_url,manual_url,source_url_provided_unverified,medium,0.65,review_needed,creator_post,Weibo public discussion root 05,"Weibo public discussion root 05 This local snapshot is a selected controlled public opinion sample for the Dong Lu / Sun Jihai youth football route controversy. Platform/source category: weibo. Root index: 05. Topic focus: platform discussion. It mentions Dong Lu, Sun Jihai, youth football, Chinese football, route comparison, public response, media reframing, community discussion, and youth protection boundaries. Coverage limitations: selected controlled public sample only; not full web coverage; not full platform coverage; not full thread coverage; not official verification; not causal proof; not a judgment of who is right or wrong. Privacy note: no raw display names, profile URLs, private messages, minor identifying details, or family personal information are included.",,zh-CN,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=05,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=05,src_weibo_05,,2026-06-17T12:10:16.482Z,2026-06-17T12:10:16.482Z,,sha256_platform_case_salt,unknown,true,true,,0,0,0,0,sha256:32e995a791ee61844ade2dbfb438580e42685f7f7e80100d0e6aaed05580917d,sha256:dfbdc613c0654cf1534977dec1dd32830b442e37aeee02d1ad04d149ca25e1b5,sha256:d7c6befecb83a7a94f66eabb5878bdd7d5210f0dc01a69c380c2ce99fba7bb2d,dup_9a60d004fae58e40d6a8,1,[],public,public,manual_public_snapshot,Selected public sample only. Not full-platform coverage. Not full-web coverage. Not full-thread coverage.,"{""asset_id"":""local-snapshot-src_weibo_05-root"",""run_id"":"""",""task_id"":"""",""source_path"":"""",""record_type"":""detail"",""field_score"":0,""keyword"":"""",""entity_ids"":[]}","{""normalized_from"":""opencrawler_local_asset"",""source_record_id"":""local-snapshot-src_weibo_05-root"",""source_type"":""major_platform_discussion_root"",""acquisition_mode"":""manual_url"",""normalized_at"":""2026-06-17T12:10:16.502Z"",""warnings"":[]}",true,true,creator_post,ordinary_user,,unknown,,unknown,unknown,unknown,unknown,,,,0
sgv1_5b409183845ffc9b7352fdd1,donglu_sunjihai_youth_football_202606,weibo,major_platform_discussion_root,manual_url,manual_url,source_url_provided_unverified,medium,0.65,review_needed,creator_post,Weibo public discussion root 06,"Weibo public discussion root 06 This local snapshot is a selected controlled public opinion sample for the Dong Lu / Sun Jihai youth football route controversy. Platform/source category: weibo. Root index: 06. Topic focus: platform discussion. It mentions Dong Lu, Sun Jihai, youth football, Chinese football, route comparison, public response, media reframing, community discussion, and youth protection boundaries. Coverage limitations: selected controlled public sample only; not full web coverage; not full platform coverage; not full thread coverage; not official verification; not causal proof; not a judgment of who is right or wrong. Privacy note: no raw display names, profile URLs, private messages, minor identifying details, or family personal information are included.",,zh-CN,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=06,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=06,src_weibo_06,,2026-06-17T12:10:16.482Z,2026-06-17T12:10:16.482Z,,sha256_platform_case_salt,unknown,true,true,,0,0,0,0,sha256:8c7da4c153badf6f9f5965553221b0b2feaff9939aa8a229bf25c69a0b8ff874,sha256:88ee222ee9c79e4ceb18aeb40960166e07257f58d4f441c38343c38d90b38569,sha256:7033a21e6244506dcf79c26a28c9110d1f5b5a3f98572971daefcd094965ed86,dup_acb19d8e52c4b450c42e,1,[],public,public,manual_public_snapshot,Selected public sample only. Not full-platform coverage. Not full-web coverage. Not full-thread coverage.,"{""asset_id"":""local-snapshot-src_weibo_06-root"",""run_id"":"""",""task_id"":"""",""source_path"":"""",""record_type"":""detail"",""field_score"":0,""keyword"":"""",""entity_ids"":[]}","{""normalized_from"":""opencrawler_local_asset"",""source_record_id"":""local-snapshot-src_weibo_06-root"",""source_type"":""major_platform_discussion_root"",""acquisition_mode"":""manual_url"",""normalized_at"":""2026-06-17T12:10:16.502Z"",""warnings"":[]}",true,true,creator_post,ordinary_user,,unknown,,unknown,unknown,unknown,unknown,,,,0
sgv1_d23706ef93953f3b82a049c6,donglu_sunjihai_youth_football_202606,weibo,major_platform_discussion_root,manual_url,manual_url,source_url_provided_unverified,medium,0.65,review_needed,creator_post,Weibo public discussion root 07,"Weibo public discussion root 07 This local snapshot is a selected controlled public opinion sample for the Dong Lu / Sun Jihai youth football route controversy. Platform/source category: weibo. Root index: 07. Topic focus: platform discussion. It mentions Dong Lu, Sun Jihai, youth football, Chinese football, route comparison, public response, media reframing, community discussion, and youth protection boundaries. Coverage limitations: selected controlled public sample only; not full web coverage; not full platform coverage; not full thread coverage; not official verification; not causal proof; not a judgment of who is right or wrong. Privacy note: no raw display names, profile URLs, private messages, minor identifying details, or family personal information are included.",,zh-CN,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=07,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=07,src_weibo_07,,2026-06-17T12:10:16.482Z,2026-06-17T12:10:16.482Z,,sha256_platform_case_salt,unknown,true,true,,0,0,0,0,sha256:f5220f64143757e350a023fb86c7f4ec6fb4a48a5c2a25eec94c0ea4127b9816,sha256:277366164ff6ec3f79504088d72b89815cacd21c6f1b75f64ba8470c0403cdda,sha256:8b381ed481391d106817752bbae94a20c98674a9f06056fc100f0e95f3d6de7a,dup_9f960121f471486a9dcb,1,[],public,public,manual_public_snapshot,Selected public sample only. Not full-platform coverage. Not full-web coverage. Not full-thread coverage.,"{""asset_id"":""local-snapshot-src_weibo_07-root"",""run_id"":"""",""task_id"":"""",""source_path"":"""",""record_type"":""detail"",""field_score"":0,""keyword"":"""",""entity_ids"":[]}","{""normalized_from"":""opencrawler_local_asset"",""source_record_id"":""local-snapshot-src_weibo_07-root"",""source_type"":""major_platform_discussion_root"",""acquisition_mode"":""manual_url"",""normalized_at"":""2026-06-17T12:10:16.502Z"",""warnings"":[]}",true,true,creator_post,ordinary_user,,unknown,,unknown,unknown,unknown,unknown,,,,0
sgv1_a4b1b04356c987487a7e338a,donglu_sunjihai_youth_football_202606,weibo,major_platform_discussion_root,manual_url,manual_url,source_url_provided_unverified,medium,0.65,review_needed,creator_post,Weibo public discussion root 08,"Weibo public discussion root 08 This local snapshot is a selected controlled public opinion sample for the Dong Lu / Sun Jihai youth football route controversy. Platform/source category: weibo. Root index: 08. Topic focus: platform discussion. It mentions Dong Lu, Sun Jihai, youth football, Chinese football, route comparison, public response, media reframing, community discussion, and youth protection boundaries. Coverage limitations: selected controlled public sample only; not full web coverage; not full platform coverage; not full thread coverage; not official verification; not causal proof; not a judgment of who is right or wrong. Privacy note: no raw display names, profile URLs, private messages, minor identifying details, or family personal information are included.",,zh-CN,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=08,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=08,src_weibo_08,,2026-06-17T12:10:16.482Z,2026-06-17T12:10:16.482Z,,sha256_platform_case_salt,unknown,true,true,,0,0,0,0,sha256:84d3648e9265e45127d3e092e3e28c83a8c199fc29726c5ed0ccbfb4bf6550bd,sha256:c11d93ad7c47b5b5d4fcd625c53c1e2f919ab929c0fc09677d12dd6aeb03720f,sha256:0e1349a5a6d840368e86c814fd869f410979901e35e15e854b37464141c644b5,dup_02294fa6ce2cbbf24b2a,1,[],public,public,manual_public_snapshot,Selected public sample only. Not full-platform coverage. Not full-web coverage. Not full-thread coverage.,"{""asset_id"":""local-snapshot-src_weibo_08-root"",""run_id"":"""",""task_id"":"""",""source_path"":"""",""record_type"":""detail"",""field_score"":0,""keyword"":"""",""entity_ids"":[]}","{""normalized_from"":""opencrawler_local_asset"",""source_record_id"":""local-snapshot-src_weibo_08-root"",""source_type"":""major_platform_discussion_root"",""acquisition_mode"":""manual_url"",""normalized_at"":""2026-06-17T12:10:16.502Z"",""warnings"":[]}",true,true,creator_post,ordinary_user,,unknown,,unknown,unknown,unknown,unknown,,,,0
sgv1_5b495a04fe0963c88395803b,donglu_sunjihai_youth_football_202606,weibo,major_platform_discussion_root,manual_url,manual_url,source_url_provided_unverified,medium,0.65,review_needed,creator_post,Weibo public discussion root 09,"Weibo public discussion root 09 This local snapshot is a selected controlled public opinion sample for the Dong Lu / Sun Jihai youth football route controversy. Platform/source category: weibo. Root index: 09. Topic focus: platform discussion. It mentions Dong Lu, Sun Jihai, youth football, Chinese football, route comparison, public response, media reframing, community discussion, and youth protection boundaries. Coverage limitations: selected controlled public sample only; not full web coverage; not full platform coverage; not full thread coverage; not official verification; not causal proof; not a judgment of who is right or wrong. Privacy note: no raw display names, profile URLs, private messages, minor identifying details, or family personal information are included.",,zh-CN,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=09,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=09,src_weibo_09,,2026-06-17T12:10:16.482Z,2026-06-17T12:10:16.482Z,,sha256_platform_case_salt,unknown,true,true,,0,0,0,0,sha256:4722a46eea11230863f5edd9d99259263df84830c3ce4a37b3358cfaf299e886,sha256:d445fe8f0402d7698d13e2ffa368f0b351741e0ebc19cdfb6107ae5d9edc3733,sha256:dd53ba3019b6f3686dcbaf31220c19122a14d18f07d639b3492ac90f8783aa29,dup_552d08b9a9dbb8c7fd43,1,[],public,public,manual_public_snapshot,Selected public sample only. Not full-platform coverage. Not full-web coverage. Not full-thread coverage.,"{""asset_id"":""local-snapshot-src_weibo_09-root"",""run_id"":"""",""task_id"":"""",""source_path"":"""",""record_type"":""detail"",""field_score"":0,""keyword"":"""",""entity_ids"":[]}","{""normalized_from"":""opencrawler_local_asset"",""source_record_id"":""local-snapshot-src_weibo_09-root"",""source_type"":""major_platform_discussion_root"",""acquisition_mode"":""manual_url"",""normalized_at"":""2026-06-17T12:10:16.502Z"",""warnings"":[]}",true,true,creator_post,ordinary_user,,unknown,,unknown,unknown,unknown,unknown,,,,0
sgv1_663bc0fa78bbad43867893ae,donglu_sunjihai_youth_football_202606,weibo,major_platform_discussion_root,manual_url,manual_url,source_url_provided_unverified,medium,0.65,review_needed,creator_post,Weibo public discussion root 10,"Weibo public discussion root 10 This local snapshot is a selected controlled public opinion sample for the Dong Lu / Sun Jihai youth football route controversy. Platform/source category: weibo. Root index: 10. Topic focus: platform discussion. It mentions Dong Lu, Sun Jihai, youth football, Chinese football, route comparison, public response, media reframing, community discussion, and youth protection boundaries. Coverage limitations: selected controlled public sample only; not full web coverage; not full platform coverage; not full thread coverage; not official verification; not causal proof; not a judgment of who is right or wrong. Privacy note: no raw display names, profile URLs, private messages, minor identifying details, or family personal information are included.",,zh-CN,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=10,https://s.weibo.com/weibo?q=%E8%91%A3%E8%B7%AF%20%E5%AD%99%E7%BB%A7%E6%B5%B7%20%E9%9D%92%E8%AE%AD&sample=10,src_weibo_10,,2026-06-17T12:10:16.483Z,2026-06-17T12:10:16.483Z,,sha256_platform_case_salt,unknown,true,true,,0,0,0,0,sha256:1c57136162a29d1b174b0be8120ead6cef8aea0adb19c5e8250ee06dd365fc73,sha256:477bbd97bd2c3940f4baada806b195b16bb0f04aceb9fb950adf343edea63126,sha256:d399be60d40e39bb1272189bfd9e9c835b6628449eebe501ac413a8de251d795,dup_30797c3a05649d464208,1,[],public,public,manual_public_snapshot,Selected public sample only. Not full-platform coverage. Not full-web coverage. Not full-thread coverage.,"{""asset_id"":""local-snapshot-src_weibo_10-root"",""run_id"":"""",""task_id"":"""",""source_path"":"""",""record_type"":""detail"",""field_score"":0,""keyword"":"""",""entity_ids"":[]}","{""normalized_from"":""opencrawler_local_asset"",""source_record_id"":""local-snapshot-src_weibo_10-root"",""source_type"":""major_platform_discussion_root"",""acquisition_mode"":""manual_url"",""normalized_at"":""2026-06-17T12:10:16.502Z"",""warnings"":[]}",true,true,creator_post,ordinary_user,,unknown,,unknown,unknown,unknown,unknown,,,,0
